file	tv_base	tv_head	sc_base	sc_head	insertions	deletions
src/containers/quizzes/preview/quiz-preview-loader.js	0	0	0	0	1	1
src/containers/quizzes/quizzes-dashboard.js	0	0	0	0	1	1
src/containers/top-bar.js	0	0	0	0	8	1
src/containers/trade/charts-hotkeys.js	0	0	0	0	7	1
src/containers/trade/market-header-bar.js	0	0	0	0	9	3
src/containers/trade/trading-terminal/grid-layout/flex-grid/charts-grid-item.js	1	0	0	1	66	26
src/containers/trade/trading-terminal/grid-layout/flex-grid/flex-grid-wrapper.js	0	0	0	0	23	32
src/containers/trade/trading-terminal/grid-layout/flex-grid/flex-grid.js	0	0	0	0	86	29
src/containers/trade/trading-terminal/grid-layout/flex-grid/tabset-collapse-button.js	0	0	0	0	3	9
src/containers/trade/trading-terminal/grid-layout/flex-grid/trading-grid-item.js	0	0	0	0	4	3
src/containers/trade/trading-terminal/grid-layout/grid-content.js	1	0	0	0	4	15
src/containers/trade/trading-terminal/grid-layout/grid-item-refresh.js	0	0	0	0	3	3
src/containers/trade/trading-terminal/grid-layout/grid-item-settings.js	2	0	0	0	30	16
src/containers/trade/trading-terminal/layout-controls/layout-controls.js	0	0	0	0	10	1
src/containers/trade/trading-terminal/layout-controls/layouts-popup.js	0	0	0	0	21	7
src/containers/trade/trading-terminal/layout-controls/unsaved-changes-message.js	0	0	0	0	9	6
src/containers/trade/trading-terminal/widgets/alerts-form.js	2	0	0	1	7	4
src/containers/trade/trading-terminal/widgets/alerts-form/price-alert.js	0	0	0	0	2	1
src/containers/trade/trading-terminal/widgets/alerts-form/time-alert.js	0	0	0	0	2	1
src/containers/trade/trading-terminal/widgets/alerts-form/trend-line-alert.js	0	0	0	0	2	1
src/containers/trade/trading-terminal/widgets/my-orders/my-orders-header.js	0	0	0	0	4	4
src/containers/trade/trading-terminal/widgets/my-orders/order-row.js	0	0	0	0	2	2
src/containers/trade/trading-terminal/widgets/notes-form.js	1	0	0	1	36	16
src/containers/trade/trading-terminal/widgets/position-info/date-selection.js	0	0	0	0	2	1
src/containers/trade/trading-terminal/widgets/position-info/position-info.js	0	0	0	0	20	1
src/containers/trade/trading-terminal/widgets/position-info/select-position.js	0	0	0	0	3	1
src/containers/trade/trading-terminal/widgets/replay-backtests.js	0	0	0	0	8	7
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-edit-modal.js	3	0	0	3	6	5
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-overview-header.js	0	0	0	0	4	5
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-overview.js	0	0	0	0	3	2
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-position-row.js	0	0	0	0	2	3
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-positions-list.js	0	0	0	0	2	3
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-positions-table.js	0	0	0	0	4	5
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-row.js	0	0	0	0	3	2
src/containers/trade/trading-terminal/widgets/replay-backtests/backtest-stats.js	1	0	0	1	6	7
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-header.js	1	0	0	1	7	6
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-list.js	1	0	0	1	4	3
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-overview.js	0	0	0	0	4	5
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-pagination.js	0	0	0	0	8	7
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-settings.js	0	0	0	0	10	3
src/containers/trade/trading-terminal/widgets/replay-backtests/backtests-table.js	0	0	0	1	3	1
src/containers/trade/trading-terminal/widgets/ta-scanner/preset-select.js	0	0	0	0	5	7
src/containers/trade/trading-terminal/widgets/ta-scanner/rule-builder-modal.js	0	0	0	0	3	5
src/containers/trade/trading-terminal/widgets/trade-v2.js	1	0	0	0	1	1
src/flex-layout.scss	0	0	0	0	16	17
src/index.js	1	0	0	0	3	1
src/locales/TRANSLATION_GUIDE.md	1	1	0	0	1	0
src/locales/en/translation.yaml	9	1	0	3	203	161
src/locales/es/translation.yaml	10	2	0	1	191	153
src/locales/nl/translation.yaml	10	2	0	1	191	153
src/locales/ru/translation.yaml	6	6	0	0	1	1
src/models/flex-layout/chart-layouts-controller.js	0	0	0	0	11	13
src/models/flex-layout/default-chart-layouts.js	0	0	0	0	2	3
src/models/flex-layout/default-layouts.js	0	0	0	0	6	20
src/models/flex-layout/default-trading-layouts.js	0	0	0	0	21	34
src/models/flex-layout/flex-layouts-controller.js	0	0	0	0	7	2
src/models/flex-layout/trading-layouts-controller.js	0	0	0	0	266	199
src/models/market-tabs/chart-tab.js	0	0	0	0	0	8
src/models/market-tabs/chart-tabs-controller.js	0	0	0	0	30	41
src/models/market-tabs/market-tab.js	0	0	0	0	34	10
src/models/market-tabs/market-tabs-selectors.js	0	0	0	0	8	2
src/models/quiz/api-controller.js	0	0	0	0	0	11
src/models/quiz/edit-controller.js	2	0	0	0	10	52
src/models/quiz/play-controller.js	1	0	0	0	39	72
src/models/quiz/preview-controller.js	1	0	0	0	15	21
src/models/quiz/question-controller.js	3	0	0	0	5	62
src/models/quiz/question.js	1	0	0	1	56	131
src/models/quiz/quiz-controller.js	0	0	0	1	17	5
src/models/quiz/quiz-redux-controller.js	0	0	0	0	14	1
src/models/quiz/quiz-topic.js	0	0	0	0	0	13
src/reducers/chart-settings.js	0	0	0	0	1	17
src/reducers/layout.js	0	0	0	0	7	0
src/reducers/quiz.js	0	0	0	0	6	0
src/reducers/replay.js	1	0	0	1	22	21
src/util/selectors.js	0	0	0	0	5	3
src/util/trade-form.js	1	0	0	0	2	2
src/util/url.js	0	0	0	0	6	0
src/util/util.js	0	0	0	0	3	2
webpack.dev-web.config.js	1	0	0	0	0	6
webpack.dev.config.js	1	0	0	0	0	6
yarn.lock	0	0	0	2	917	1008
